PairlD,sentence1,sentence2,score
1,"Tôi muốn họ biết rằng chúng_ta sẽ làm_chứng cho họ , và ta sẽ làm bất_cứ gì có_thể để giúp họ thay_đổi cuộc_đời .",Thành phố đang triển khai kế hoạch mở rộng hệ thống giao thông công cộng nhằm giảm ùn tắc vào giờ cao điểm.,0
2,"Tôi muốn họ biết rằng chúng_ta sẽ làm_chứng cho họ , và ta sẽ làm bất_cứ gì có_thể để giúp họ thay_đổi cuộc_đời .",Chúng tôi đang xây dựng một chương trình đào tạo kỹ năng để hỗ trợ họ có thêm cơ hội việc làm và cải thiện tương lai.,1
3,"Tôi muốn họ biết rằng chúng_ta sẽ làm_chứng cho họ , và ta sẽ làm bất_cứ gì có_thể để giúp họ thay_đổi cuộc_đời .",Tôi mong họ hiểu rằng chúng ta sẽ đứng ra làm chứng cho họ và sẽ làm mọi điều trong khả năng của mình để giúp họ thay đổi cuộc sống.,2
4,"Tôi thực_sự tin , nếu ta coi người khác như những người đồng_loại , thì sẽ rất khó để khoan_hồng những tội_ác như nạn nô_lệ .",Chính phủ vừa công bố chính sách mới nhằm thúc đẩy phát triển năng lượng tái tạo trong những năm tới.,0
5,"Tôi thực_sự tin , nếu ta coi người khác như những người đồng_loại , thì sẽ rất khó để khoan_hồng những tội_ác như nạn nô_lệ .",Nhiều học giả cho rằng việc nhìn nhận mọi người bình đẳng là nền tảng quan trọng để xây dựng một xã hội công bằng hơn,1
6,"Tôi thực_sự tin , nếu ta coi người khác như những người đồng_loại , thì sẽ rất khó để khoan_hồng những tội_ác như nạn nô_lệ .","Tôi tin chắc rằng khi chúng ta xem người khác như những con người ngang hàng với mình, thì việc dung thứ cho những tội ác như chế độ nô lệ sẽ trở nên vô cùng khó khăn.",2
7,Không có ngày nào mà tôi không nghĩ về những người tuyệt_vời bị vùi_dập này . Tôi có vinh_dự to_lớn được gặp_gỡ họ ,Công ty vừa ra mắt một dòng sản phẩm mới với thiết kế hiện đại và nhiều tính năng cải tiến.,0
8,Không có ngày nào mà tôi không nghĩ về những người tuyệt_vời bị vùi_dập này . Tôi có vinh_dự to_lớn được gặp_gỡ họ ,Những con người ấy đã truyền cảm hứng cho tôi bằng nghị lực phi thường và câu chuyện cuộc đời đầy thử thách của họ.,1
9,Không có ngày nào mà tôi không nghĩ về những người tuyệt_vời bị vùi_dập này . Tôi có vinh_dự to_lớn được gặp_gỡ họ ,"Ngày nào tôi cũng nghĩ đến những con người tuyệt vời từng bị chà đạp ấy, và tôi cảm thấy vô cùng vinh hạnh khi đã có cơ hội gặp họ.",2
10,Tôi muốn đưa nô_lệ ra ánh_sáng ,Nhóm nghiên cứu vừa công bố một phát hiện mới về cấu trúc của sao Hỏa.,0
11,Tôi muốn đưa nô_lệ ra ánh_sáng ,Nhiều tổ chức đang kêu gọi tăng cường giáo dục cộng đồng về quyền con người và bình đẳng xã hội.,1
12,Tôi muốn đưa nô_lệ ra ánh_sáng ,Tôi mong muốn phơi bày thực trạng nô lệ để mọi người được biết đến nó.,2
13,"Giải_phóng Nô_lệ , và quyết_tâm như_thế_này , hiện lên trên khuôn_mặt của những người lạ_thường , khiến tôi ngập_tràn sự nể phục .",Trận chung kết bóng đá tối qua đã thu hút hàng triệu khán giả theo dõi trực tiếp trên truyền hình.,0
14,"Giải_phóng Nô_lệ , và quyết_tâm như_thế_này , hiện lên trên khuôn_mặt của những người lạ_thường , khiến tôi ngập_tràn sự nể phục .",Tinh thần đấu tranh vì công lý của họ đã tạo nên một phong trào mạnh mẽ trong cộng đồng.,1
15,"Giải_phóng Nô_lệ , và quyết_tâm như_thế_này , hiện lên trên khuôn_mặt của những người lạ_thường , khiến tôi ngập_tràn sự nể phục .","Khát vọng giải phóng nô lệ cùng với sự quyết tâm ấy thể hiện rõ trên gương mặt những con người phi thường, làm tôi vô cùng kính phục.",2
16,"Dù_vậy , anh_ta vẫn mơ_ước được tự_do được đi học với sự giúp_đỡ của những nhà hoạt_động địa_phương như tổ_chức ",Giá xăng dầu trong nước đã tăng mạnh do ảnh hưởng của thị trường thế giới.,0
17,"Dù_vậy , anh_ta vẫn mơ_ước được tự_do được đi học với sự giúp_đỡ của những nhà hoạt_động địa_phương như tổ_chức ","Nhờ sự hỗ trợ của các tình nguyện viên tại địa phương, anh dần có thêm hy vọng về một tương lai tốt đẹp hơn.",1
18,"Dù_vậy , anh_ta vẫn mơ_ước được tự_do được đi học với sự giúp_đỡ của những nhà hoạt_động địa_phương như tổ_chức ","Mặc dù vậy, anh ấy vẫn khao khát được tự do và được đến trường nhờ sự trợ giúp của các nhà hoạt động địa phương và các tổ chức.",2
19,"Trên_hết , Manuru bị bệnh lao , nhưng vẫn bị bắt làm_việc ngày qua_ngày tại hầm_mỏ đó .",Lễ hội âm nhạc mùa hè năm nay quy tụ nhiều nghệ sĩ nổi tiếng trong và ngoài nước.,0
20,"Trên_hết , Manuru bị bệnh lao , nhưng vẫn bị bắt làm_việc ngày qua_ngày tại hầm_mỏ đó .",Điều kiện làm việc khắc nghiệt tại hầm mỏ đã khiến sức khỏe của anh suy giảm nghiêm trọng theo thời gian.,1
21,"Trên_hết , Manuru bị bệnh lao , nhưng vẫn bị bắt làm_việc ngày qua_ngày tại hầm_mỏ đó .","Quan trọng hơn, dù mắc bệnh lao, Manuru vẫn bị ép phải lao động liên tục từng ngày trong chính hầm mỏ ấy.",2
